symbol,open,high,low,preV. CLOSE,ltp,indicative CLose,chng,%Chng,volume(shares),value(₹ Crores),52W H,52W L,30 d  %chng,30 d  %chng (2)
NIFTY 50, 26333.70, 26373.20, 26210.05, 26328.55, 26254.70, 26266.15, -73.85, -0.28, 302539765, 22627.61, 26340.00, 21743.65, 1.14, 
BEL, 402.85, 418.60, 402.80, 403.15, 414.10, 414.65, 10.95, 2.72, 24255246, 1003.46, 436.00, 240.25, -2.40, 
NESTLEIND, 1279.00, 1320.00, 1278.50, 1279.70, 1314.00, 1315.10, 34.30, 2.68, 2067323, 271.02, 1320.00, 1055.00, 1.65, 
EICHERMOT, 7344.00, 7514.50, 7328.00, 7334.50, 7485.00, 7489.00, 150.50, 2.05, 367214, 274.07, 7514.50, 4646.00, 3.12, 
ASIANPAINT, 2770.00, 2828.00, 2769.00, 2772.60, 2818.10, 2820.30, 45.50, 1.64, 778072, 218.81, 2985.70, 2124.75, -6.15, 
ULTRACEMCO, 11931.00, 12114.00, 11860.00, 11899.00, 12087.00, 12092.00, 188.00, 1.58, 271349, 327.16, 13097.00, 10047.85, 2.00, 
TATASTEEL, 182.88, 186.89, 182.87, 182.88, 185.64, 185.84, 2.76, 1.51, 27942006, 517.82, 186.94, 122.62, 9.00, 
HINDUNILVR, 2341.50, 2394.00, 2336.40, 2348.00, 2383.20, 2383.10, 35.20, 1.50, 1144662, 272.12, 2750.00, 2136.00, -5.24, 
AXISBANK, 1274.20, 1289.70, 1270.00, 1266.90, 1285.00, 1285.20, 18.10, 1.43, 5270186, 677.01, 1304.00, 933.50, 0.71, 
ICICIBANK, 1354.20, 1375.50, 1352.60, 1355.40, 1371.00, 1371.80, 15.60, 1.15, 6059117, 829.31, 1500.00, 1186.00, -1.28, 
MARUTI, 17025.00, 17370.00, 16980.00, 16960.00, 17155.00, 17165.00, 195.00, 1.15, 270510, 465.25, 17370.00, 11059.45, 4.44, 
TATACONSUM, 1165.00, 1191.00, 1165.00, 1170.70, 1181.60, 1182.20, 10.90, 0.93, 1284801, 151.80, 1202.80, 913.05, 0.73, 
TMPV, 370.35, 375.00, 369.10, 370.35, 373.55, 373.50, 3.20, 0.86, 8417336, 313.15, 810.00, 337.70, 2.38, 
TITAN, 4051.70, 4094.00, 4046.00, 4051.70, 4081.70, 4083.30, 30.00, 0.74, 549716, 224.22, 4094.00, 2925.00, 4.27, 
HDFCLIFE, 751.50, 765.40, 751.50, 754.85, 759.75, 759.70, 4.90, 0.65, 1084274, 82.50, 820.75, 584.30, -0.55, 
SBIN, 1000.00, 1015.50, 1000.00, 998.95, 1005.15, 1006.85, 6.20, 0.62, 10493180, 1057.49, 1015.50, 680.00, 3.27, 
HINDALCO, 932.50, 937.90, 925.85, 925.70, 930.65, 931.20, 4.95, 0.53, 4725017, 440.31, 937.90, 546.45, 14.73, 
TRENT, 4409.60, 4457.00, 4357.00, 4409.60, 4431.20, 4438.80, 21.60, 0.49, 452137, 199.76, 7493.05, 3930.10, 4.33, 
CIPLA, 1511.00, 1525.00, 1507.20, 1511.60, 1518.10, 1519.10, 6.50, 0.43, 1382072, 209.70, 1673.00, 1335.00, -0.33, 
SBILIFE, 2067.40, 2094.90, 2063.20, 2067.40, 2076.10, 2074.70, 8.70, 0.42, 682384, 142.13, 2094.90, 1372.55, 4.34, 
JSWSTEEL, 1180.70, 1192.90, 1179.00, 1180.70, 1184.40, 1186.20, 3.70, 0.31, 911741, 108.16, 1223.90, 880.00, 1.61, 
ADANIPORTS, 1488.00, 1496.80, 1479.10, 1489.50, 1494.10, 1494.70, 4.60, 0.31, 675977, 100.61, 1549.00, 1010.75, -1.88, 
POWERGRID, 271.25, 272.80, 268.70, 270.95, 271.55, 271.65, 0.60, 0.22, 10514627, 284.69, 322.00, 247.30, 1.31, 
SUNPHARMA, 1728.00, 1746.00, 1723.40, 1728.00, 1729.50, 1731.00, 1.50, 0.09, 1187341, 206.24, 1896.00, 1548.00, -3.97, 
BAJAJFINSV, 2040.00, 2045.90, 2030.00, 2038.40, 2040.00, 2040.40, 1.60, 0.08, 551863, 112.48, 2195.00, 1576.40, -1.33, 
BHARTIARTL, 2102.10, 2112.10, 2096.50, 2106.30, 2106.10, 2106.30, -0.20, -0.01, 2176299, 458.18, 2174.50, 1559.50, 0.11, 
ADANIENT, 2287.00, 2303.90, 2274.30, 2279.80, 2279.20, 2283.10, -0.60, -0.03, 617046, 141.09, 2616.50, 1967.52, 1.79, 
