symbol,open,high,low,preV. CLOSE,ltp,indicative CLose,chng,%Chng,volume(shares),value(₹ Crores),52W H,52W L,30 d  %chng,30 d  %chng (2)
NIFTY BANK, 60360.40, 60437.35, 59859.80, 60150.95, 60060.15, 60079.80, -90.80, -0.15, 284918075, 7567.86, 60203.75, 47702.90, 1.48, 
UNIONBANK, 158.00, 162.99, 157.51, 156.70, 161.95, 162.16, 5.25, 3.35, 27763192, 447.18, 162.99, 100.81, 0.60, 
YESBANK, 22.35, 22.91, 22.18, 22.29, 22.82, 22.86, 0.53, 2.38, 139370273, 314.14, 24.30, 16.02, -1.85, 
AUBANK, 1023.00, 1026.80, 1005.10, 999.40, 1015.05, 1016.05, 15.65, 1.57, 1858684, 188.72, 1026.80, 478.35, 4.86, 
AXISBANK, 1274.20, 1289.70, 1270.00, 1266.90, 1285.20, 1285.20, 18.30, 1.44, 5274620, 677.58, 1304.00, 933.50, 0.71, 
ICICIBANK, 1354.20, 1375.50, 1352.60, 1355.40, 1370.90, 1371.80, 15.50, 1.14, 6072417, 831.13, 1500.00, 1186.00, -1.28, 
SBIN, 1000.00, 1015.50, 1000.00, 998.95, 1005.65, 1006.80, 6.70, 0.67, 10547740, 1062.98, 1015.50, 680.00, 3.27, 
BANKBARODA, 308.80, 311.80, 304.65, 305.05, 306.75, 307.10, 1.70, 0.56, 14802165, 456.22, 311.80, 190.70, 2.75, 
INDUSINDBK, 905.00, 910.00, 894.65, 902.45, 901.95, 902.10, -0.50, -0.06, 1915669, 173.00, 1086.55, 606.00, 6.13, 
PNB, 126.00, 128.24, 124.38, 125.35, 125.22, 125.34, -0.13, -0.10, 16707719, 210.97, 128.24, 85.46, -, 
KOTAKBANK, 2196.90, 2206.70, 2182.00, 2195.10, 2190.70, 2192.50, -4.40, -0.20, 1823926, 400.25, 2301.90, 1723.75, 2.46, 
CANBK, 155.50, 157.60, 153.52, 154.87, 154.30, 154.52, -0.57, -0.37, 16520629, 256.76, 158.00, 78.60, 1.87, 
IDFCFIRSTB, 86.27, 86.27, 84.46, 85.92, 85.01, 85.05, -0.91, -1.06, 13155005, 112.08, 87.00, 52.46, 4.81, 
FEDERALBNK, 266.95, 267.10, 261.35, 266.95, 263.70, 263.80, -3.25, -1.22, 5977813, 157.16, 271.10, 172.66, 3.29, 
HDFCBANK, 1005.75, 1006.40, 976.30, 1001.60, 977.65, 977.75, -23.95, -2.39, 23128223, 2279.68, 1020.50, 812.15, 1.19, 
